userName,score,content,at,quarter
Belinda Blunderbus,4,"The app itself is very useful and clear but do not rely on Air B&B reviews alone, and do not expect too much assistance if you want to claim any compensation.",2025-03-31 23:10:08,2025Q1
Ulemberg Belarminio de Sousa,5,confiável,2025-03-31 22:54:00,2025Q1
Set Sail Cruising,1,"terrible experience with Airbnb. customer service lied and dragged out their ""investigation"" costing me hundreds of dollars and leaving me stranded with no where to stay!",2025-03-31 21:46:06,2025Q1
Antony Simkin,5,A company that protects you as a client and really cares about you. The app is very user-friendly and cozy.,2025-03-31 21:44:25,2025Q1
Nikhil Shah,5,lovely,2025-03-31 21:15:12,2025Q1
Luann Viggiano,1,"verification process was terrible. Lost reservation had to book and pay twice. it kept saying verification complete. but apparently, it was not and canceled the reservation.",2025-03-31 20:24:45,2025Q1
Michelle Swann,5,quick and easy,2025-03-31 19:42:40,2025Q1
Ger Wood,1,"Bad - just don't use them. The UI and user interaction is extremely buggy. The sms codes fail, the ID photos won't upload, and they cancelled my account and denied access AFTER l'd booked, paid, and chatted with the host. The service desk is manned by third parties who just spew out boilerplate answers. A painful experience allround.",2025-03-31 18:35:12,2025Q1
alain noun,1,"the registration puzzles for human check are awfully unclear, same for audio human check. i understand your cyber security concerns but pls elaborate a doable test. i ended up by removing the app even though i needed it",2025-03-31 17:45:28,2025Q1
Trent,1,"There decisions to not include taxes in their prices when you select ""Display Total Price"" is just so frustrating and obviously a deliberate attempt to make their prices look cheaper. What a pathetic company",2025-03-31 17:16:43,2025Q1
Bipasha Dey,5,Great app for staycation!!!!,2025-03-31 17:15:38,2025Q1
Dilip Bhattalwar,4,"property location should be more accurate. many hosts do not give distance nearby landmark. it should be compulsory to mention nearby mall name, public buildings name or road name etc etc",2025-03-31 15:09:36,2025Q1
b,1,"I will never use Airbnb again. Their adverting is completely inaccurate. More appropriate terms to use would be Landlord not Host and Tenant not Guest. To protect yourself from excessive untrue damage charges, you have to spend at least 1 hour or more video taping and taking pictures of everything. Also, make sure your pictures are time stamped. Then video and picture everything once a day and make sure they have timestamps. If you want to be treated like a guest, stick with hotels.",2025-03-31 12:58:32,2025Q1
Shmuel Hayempour,5,great app wonderful service,2025-03-31 12:37:09,2025Q1
anish kanjilal,5,incredible,2025-03-31 12:10:57,2025Q1
Andrew Bald,5,Great way to find accommodation,2025-03-31 11:54:16,2025Q1
Sara Ryan,5,Nothing but a great experience,2025-03-31 10:55:20,2025Q1
Dom Cappuccitti,5,it's been good,2025-03-31 10:49:44,2025Q1
Maria Alejandra Sánchez López,5,Was great and easy to find host in the places that I search,2025-03-31 10:37:39,2025Q1
Heather Chavez,5,awesome app,2025-03-31 10:27:01,2025Q1
Geri,3,"suggestion to update the app, then next time I use the app need to update again, two days later. Frustrating.",2025-03-31 10:21:21,2025Q1
P Eck,5,Easy to use. I appreciate the waiver you have to agree to claiming you're not a bigot or a homophobe.,2025-03-31 09:51:18,2025Q1
nero vanguard,1,Why the hell is your app displaying prices in US dollars? I've already put in my address and all but it's still showing dollar prices,2025-03-31 08:54:42,2025Q1
Flavia L.,5,cool and easy to use,2025-03-31 07:06:41,2025Q1
michael akers,2,"To be fair, I have not used Airbnb for a while. This time, the app kept clearing my dates and preferences, so when I finally went to reserve a place, it was for the wrong week and without a pet. Of course, this affected the price at the time of checkout. Overall, it's not as good as it used to be. I was not able to map out the directions to the general location to even see how far away it was lol. I could not filter for a fireplace either. a little clunky, in my opinion.",2025-03-31 06:41:22,2025Q1
Carolyn Chavez,5,Simple easy app!,2025-03-31 06:08:39,2025Q1
Terry Stonecipher,4,very easy to use,2025-03-31 05:11:17,2025Q1
Micah Medina,5,"I had a host who painted the wall and regrouted the shower before I arrived (what was this guy thinking?) and the smell was so strong we couldn't have stayed there whether I got a refund or not. I thought I'd have to fight and go back and forth endlessly to get anything back at all. Airbnb support didn't give me any trouble and gave me my refund in full. I had to book a hotel, but I am so glad that guy didn't keep any of my money after that silly nonsense. Thank you for doing right thing Airbnb!",2025-03-31 03:38:33,2025Q1
Johny Thottam,4,good.,2025-03-31 03:08:34,2025Q1
Doyle Sherrer,5,so far this has been a great app to find places for my family and I to stay when traveling.,2025-03-31 02:50:07,2025Q1
George Joestar,1,"I swear to God, man. I only use this app because I HAVE TO. First of all, the price listed does not include their service fee. Second, they won't let you delete sensible credit card information even if you cancel on time. Third, I wouldn't even be canceling if it wasn't because their app decided to decline my payment for no reason. Card I've used all my life. Fourth, you can't even change the language on the app. I've changed my language/currency settings over ten times on PC it still forgets.",2025-03-31 02:40:31,2025Q1
Maggie Melvin,5,never any issues,2025-03-31 02:14:52,2025Q1
Alaa Serageldin,1,scam platform,2025-03-31 01:54:57,2025Q1
Berenice Sabino,1,very difficult to book,2025-03-30 23:28:58,2025Q1
Michele Vega,5,It's the kind of app that no matter where you're going even if it's somewhere simple or if it's the best most memorable thing you're ever going to do you're going to want to go and check to see if there's an Airbnb nearby or not that far ;),2025-03-30 21:01:57,2025Q1
Walid Tamtam,5,"Great, especially in Brazil!",2025-03-30 20:45:23,2025Q1
Thomas Martin,1,Not honest. They trigger the personal verification after we complete the payment. Will try to never use this service again.,2025-03-30 19:34:48,2025Q1
Matt B,5,Absolutely awesome,2025-03-30 18:30:34,2025Q1
Liza Stubbs,5,Affordable places to stay in people's homes.,2025-03-30 16:47:19,2025Q1
Jonaira Gallana,5,amazing,2025-03-30 16:10:44,2025Q1
CY Mak,2,"The app asked me to cover my id number when doing the verification, but when I do it, I can't get through the verification",2025-03-30 16:09:40,2025Q1
K R,1,"it won't accept gift cards as a deposit, you still have to pay plus the amount deducted from the giftcard. its shocking!",2025-03-30 15:58:14,2025Q1
Ancent Chang,1,cant even get my id verify 😡😡😡,2025-03-30 15:42:27,2025Q1
Michelle Sweeny,3,frustrated by the hidden fees the total price is often doubled from the advertised rate!!,2025-03-30 12:22:38,2025Q1
Laurelle Gordon,5,I have used this app many times in the past and have always found it easy to navigate.,2025-03-30 11:17:00,2025Q1
Courtney Bedford,5,very handy app for holidays,2025-03-30 10:23:03,2025Q1
Donald Knight,5,Love this app !! Never disappointed !,2025-03-30 09:51:20,2025Q1
Karma Kamil-Leon,5,I absolutely love airbnb. it makes bookings for a vacation so effortless and fun! the safety features are a bonus because they aren't too invasive or time consuming.,2025-03-30 09:44:42,2025Q1
Christina Souza,5,always have a good experience with air bnb,2025-03-30 09:43:23,2025Q1
jim reeves,5,I love this app,2025-03-30 09:14:32,2025Q1
Verlyndia Smith,5,Top Level Customer Service,2025-03-30 08:41:54,2025Q1
Jordyn,1,Ceo of airbnb is part of Doge now. No kings no masters. No AIRBNB,2025-03-30 07:55:18,2025Q1
J Lawrence,1,"Previously, I've used the airbnb app. I had no issue until now. I am a travel nurse. I took an assignment in Malone, New York. I rented a room in Winthrop, NY. And they basically got bamboozu for $452 extra after I've already paid $848 to the host of the house, which I was only there from March 15th to March 31st. I now realize that airbnb only protects their clients. Not the customers and what they fail to realize are that customers are who make their businesses profitable.",2025-03-30 07:03:20,2025Q1
Amy Bartlett,5,"Fantastic App, easy to book stays.",2025-03-30 05:31:02,2025Q1
Akshay M,1,"""I booked a room in Dubai for four days through Airbnb, but unfortunately, the host failed to honor the reservation and Airbnb has not taken adequate responsibility or action to resolve the issue.""",2025-03-30 05:20:51,2025Q1
Dave Billingham,3,I know you need to verify my ID but asking for my Government ID in a country that doesn't have a compulsory ID scheme is pretty stupid and looks a lot like data harvesting. Setting a short time limit on it makes it impossible to use the app if you don't have access to your IDs immediately to hand. On top of that the app is pretty clunky when entering your details with pop up windows asking for address lines making it hard to use and giving the impression the app is insecure.,2025-03-30 05:00:55,2025Q1
Angela Newitt,5,easy to book & pay for holiday.,2025-03-30 04:57:11,2025Q1
R R,5,"Good app, dark mode can be introduced.",2025-03-30 04:29:53,2025Q1
Sikun Jati,5,good,2025-03-30 03:27:38,2025Q1
Luis Marcial,5,this app has been our family salvation 🙏. we loveee AirBNB,2025-03-30 03:21:03,2025Q1
steve graham,1,"won't log in. keeps telling me to reset password. change the meeting the 8 character and all that stuff, and keeps telling me my password is too weak.",2025-03-30 03:08:12,2025Q1
Rosalie Campbell,5,"very informative, lots of really good pictures. always love using this out",2025-03-30 02:56:06,2025Q1
pallavi malviya,1,Worst customer support. biased towards the host. even with clear evidence like the host using stock images they simply removed our genuine review.,2025-03-30 02:51:55,2025Q1
Robert Osory,1,took 30 minutes to list a place. now no option to manage it. when booking there's hidden fees. More expensive than a hotel.,2025-03-30 02:36:35,2025Q1
Jon Garcia,5,App works well and stays are good.,2025-03-30 02:20:17,2025Q1
Tommy Welch,1,Refused to delete an exaggerated complaint even after I offered to provide video evidence of their false claims. Happy to say I'll never use Airbnb again,2025-03-30 02:08:25,2025Q1
Jocelyn Frascella,5,"I prefer Airbnb over hotels because it offers more options, from budget stays to luxury homes. The app is well-designed, and booking is quick and secure. I’ve had amazing stays thanks to Airbnb..",2025-03-30 02:06:17,2025Q1
Dominick Guertin,5,"Seamless app and platform. It's gotten better recently (faster, more entertaining), too. I've used AirBnB to travel the world, and I love it.",2025-03-30 02:05:00,2025Q1
Lacy Michelle,5,Never let's me down when I need some private time and space!,2025-03-30 01:58:10,2025Q1
