userName,score,content,at,sentiment
OG Okin,1,"My host was allowed to keep $1045.63 . The listing was surrounded by bushes, and we never checked in due to terrible crime and safety in the neighborhood. Airbnb allows the host to use a non-refundable policy to defraud guests and compel us to stay or forfeit our money. This is totally unacceptable in the hospitality industry. GUEST IS NOT PRIORITY TO THIS COMPANY. Users is all that counts. Airbnb removed my review because they said it was not relevant to my stay- a stay i never had.",2025-05-19 22:06:03,-0.33125
Mark Gen Granada,5,so easy and fast transaction,2025-05-19 21:49:34,0.31666666666666665
Gabriel Babin,1,new update is terrible please fix,2025-05-19 19:57:58,-0.4318181818181818
Liviu Marin,2,"extremely high fees. zero customer support. landlords can be abusive and airbnb gives an ai generated answer, and refuses to let me post a review about it.",2025-05-19 19:54:51,0.16
ا لوي,5,pretty nice,2025-05-19 19:10:10,0.425
Joe Chadwick,5,Awesome,2025-05-19 17:27:09,1.0
Emmanuel Veigas,5,A 100 percent recommended,2025-05-19 17:26:09,0.0
Sondra Roberts-Stott,5,easy to use,2025-05-19 16:55:35,0.43333333333333335
Euselito Torefiel,5,Easy to use,2025-05-19 16:22:50,0.43333333333333335
Evgeny Belkovich,5,life-changing app. the best,2025-05-19 16:18:04,1.0
Alex Santillan,5,very easy pain free and convenient ✨️,2025-05-19 16:03:55,0.4816666666666667
Purushotham Padmaraj,5,very neat and well maintained. helpful staff available and kind. breakfast made was tasty as well.,2025-05-19 15:43:04,0.4000000000000001
Ruth Pass,5,"easy, simple. always feel comfortable, confident and reassured.",2025-05-19 13:19:41,0.33333333333333337
Denise Franks,5,"it is very user friendly, making the search for a home so easy. I really like that you can now see the total cost of the home you are viewing.",2025-05-19 12:57:20,0.24166666666666664
А_a К_k,1,"Appalling support. The apartment is filthy, the so-called “cleaning” is a joke, and Airbnb support completely ignored my complaint and refused to refund anything. I’m stuck paying for this disgrace - a cleaning fee for a service that was never done - and now I have to spend two nights in this disgusting place in Gdańsk. Absolute failure on every level. Shame on you.",2025-05-19 12:48:44,-0.35238095238095235
patrick drumheller,4,great stuff,2025-05-19 12:18:31,0.8
Manuel Barr,1,"The new app seems to want the attention on the new experiences maybe a corporate move to influence the added features. overall a disgrace to the normal users. The search is obviously broken. How do we find a specific home, I guess scroll till your fingers get tired. Horrible update. I'm guessing it's the starting faze and hopefully not a facet. Most likely trying to see what the users are doing with the new features. a waste for whoever wanted to go out to an extraordinary location. Boo 👎",2025-05-19 11:40:58,-0.04050505050505052
Busi Emily,1,"Putting my payment on hold is a very bad experience to me as a host even now ,I'm still going to wait for 5 to 7working days ,what that for a person whose running a business, I need my payments immediately can't wait .I'm not happy with your service, it shows that you don't care about us ,running a guesthouse needs maintainable",2025-05-19 11:20:14,-0.6549999999999999
Kurtis E,1,"anyone else log in, and just get a white screen with only log out at top right?",2025-05-19 10:36:57,0.19642857142857142
TEXMM ALR,5,TRAVELING THE WORLD MADE EASY!!!!,2025-05-19 10:07:53,1.0
Cynn Moses,5,Ease of use,2025-05-19 09:54:13,0.0
Graham Davies,5,Good list of properties. Easy to use.,2025-05-19 09:15:48,0.5666666666666667
gogl acoun,1,don't trust this app full of scammers,2025-05-19 08:19:41,0.35
abihail marcano,5,the app very easy to navigate. I will uptade after my trip.,2025-05-19 07:59:55,0.5633333333333334
Sarah Taylor,1,"Airbnb has gone downhill so much. I used to think it was great, have 20+ trips, but it is just a money grab for rich people. Hope Russ enjoys his $25. Of course your cleaner didn't want to drive up a mountain for free.",2025-05-19 07:35:52,0.44375
Angelika Parr,4,"Simple and easy sight to use,hundreds off destinations, and you can pick the price you can afford.",2025-05-19 07:15:05,0.21666666666666667
Adrian Duncan,5,Always look at AirBnB for accommodation options when away from home.,2025-05-19 06:57:22,0.0
Rhoda Baluhya,5,cheapest prices,2025-05-19 05:49:45,0.0
Simon Ferrier,1,this new update is terrible. it now won't show me my trips unless I update my personal profile. I've cooked though and updated it but it still tells me to update it again. I'm trying to get the address of the property I'm staying at next week and it won't let me go into the trip details.,2025-05-19 05:35:13,-0.2159090909090909
Diogo Henriques,1,"they're cooperating with scammer hosts without proper arguments, it's disgusting guys",2025-05-19 05:33:00,-0.5
Robert Lupton,3,confusing as it looks like you have created a second account for me,2025-05-19 05:19:14,-0.15
D. Co.,5,We visited our family from out of state. They had a very nice air bnb. Fox Trot. Simply beautiful. Amenities were excellent. ❤️ 😍,2025-05-19 05:00:21,0.8766666666666666
Sekhar Das,5,It's a wonderful & must have app for those people who live for travel.....,2025-05-19 04:40:05,0.5681818181818181
Desiree Smith,5,Convenient and professional,2025-05-19 04:22:37,0.1
Ahmad sh,5,"Airbnb shines with its excellent service and customer support, where the team is consistently responsive and helpful. The app is also a standout, boasting an intuitive design that simplifies searching and booking. Beyond the practicalities, Airbnb fosters a great sense of community, connecting travelers with unique stays and welcoming hosts for more authentic experiences. It's a reliable platform that prioritizes user experience and support.",2025-05-19 04:05:30,0.5708333333333333
Dale Peter,5,Such an easy app to use for accommodation.,2025-05-19 02:34:53,0.21666666666666667
