userName,score,content,at,sentiment,cluster
Mark Gen Granada,5,so easy and fast transaction,2025-05-19 21:49:34,0.3166666666666666,0
ا لوي,5,pretty nice,2025-05-19 19:10:10,0.425,0
Joe Chadwick,5,Awesome,2025-05-19 17:27:09,1.0,0
Sondra Roberts-Stott,5,easy to use,2025-05-19 16:55:35,0.4333333333333333,0
Euselito Torefiel,5,Easy to use,2025-05-19 16:22:50,0.4333333333333333,0
Evgeny Belkovich,5,life-changing app. the best,2025-05-19 16:18:04,1.0,0
Alex Santillan,5,very easy pain free and convenient ✨️,2025-05-19 16:03:55,0.4816666666666667,0
Purushotham Padmaraj,5,very neat and well maintained. helpful staff available and kind. breakfast made was tasty as well.,2025-05-19 15:43:04,0.4000000000000001,0
Ruth Pass,5,"easy, simple. always feel comfortable, confident and reassured.",2025-05-19 13:19:41,0.3333333333333333,0
patrick drumheller,4,great stuff,2025-05-19 12:18:31,0.8,0
TEXMM ALR,5,TRAVELING THE WORLD MADE EASY!!!!,2025-05-19 10:07:53,1.0,0
Graham Davies,5,Good list of properties. Easy to use.,2025-05-19 09:15:48,0.5666666666666667,0
gogl acoun,1,don't trust this app full of scammers,2025-05-19 08:19:41,0.35,0
abihail marcano,5,the app very easy to navigate. I will uptade after my trip.,2025-05-19 07:59:55,0.5633333333333334,0
Sarah Taylor,1,"Airbnb has gone downhill so much. I used to think it was great, have 20+ trips, but it is just a money grab for rich people. Hope Russ enjoys his $25. Of course your cleaner didn't want to drive up a mountain for free.",2025-05-19 07:35:52,0.44375,0
D. Co.,5,We visited our family from out of state. They had a very nice air bnb. Fox Trot. Simply beautiful. Amenities were excellent. ❤️ 😍,2025-05-19 05:00:21,0.8766666666666666,0
Sekhar Das,5,It's a wonderful & must have app for those people who live for travel.....,2025-05-19 04:40:05,0.5681818181818181,0
