date,quarter,opex_musd
2025.3.31,2025Q1,2234
2024.12.31,2024Q4,2050
2024.9.30,2024Q3,2207
2024.6.30,2024Q2,2251
2024.3.31,2024Q1,2041
2023.12.31,2023Q4,2714
2023.9.30,2023Q3,1901
2023.6.30,2023Q2,1961
2023.3.31,2023Q1,1823
2022.12.31,2022Q4,1667
2022.9.30,2022Q3,1681
2022.6.30,2022Q2,1735
2022.3.31,2022Q1,1514
2021.12.31,2021Q4,1457
2021.9.30,2021Q3,1385
2021.6.30,2021Q2,1386
2021.3.31,2021Q1,1334
2020.12.31,2020Q4,3959
2020.9.30,2020Q3,924
2020.6.30,2020Q2,918
2020.3.31,2020Q1,1167
